 SCHEDULE FA1 (REVISI 0) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 LINE , PART NO , MODEL , SPEC , PEDAL , SCREW SET , KEYBOARD , NO PART KEYBOARD , NO. URUT ,SCHEDULE (REVISI 0),,,,,,,TOTAL,GROUP KERJA, Wkt kerja ,Target Eff Direct,Jmlh Group, Jml Opr Direct , ST ,"Beban
(ST x Sch)",,,,,,,Judgment Capacity,"TAKT TIME PER MODEL
(BEBAN/TOTAL BEBAN) * WAKTU KERJA/SCH",,,,,,,"LAMA PENGERJAAN
(Takt Time x Sch)",,,,,,, WAKTU PENGERJAAN (berdasarkan Takt Time Per Model) ,,,,,,,,,,,,,,,,,,,,,Takt Time ALL Model, Takt Time Per Model , Pitch Time  ,Pitch : Takt,,,,,,,,,,,,,,,,
,,,,,,,,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,,,,,,,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,Sun,,Istirahat,Mon,,Istirahat,Tue,,Istirahat,Wed,,Istirahat,Thu,,Istirahat,Fri,,Istirahat,Sat,,Istirahat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,,,,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,,,,,,Note:,,,,,,,,,,,,,,
 FA1-L01 ,,,,,,,,,,,,,,,,                 -,S1/N,470,120.00%,1,12.7,,                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,                -  , Capacity OK ,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,5.5,,,- ,,,,Pitch : Takt ,<90%,,,,,,,,,,,
,VGF4340,CLP-825B,E,VFG9690,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,1,         -,16,,         -,,         -,         -,16,,,,,,83.51,                -  ,"1,336",                -  ,                -  ,                -  ,                -  ,                -  ,,               -,5.5,               -,               -,               -,               -,               -,               -,87,               -,               -,               -,               -,               -,7:00,7:00,,7:00,8:27,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,5.47,               -  ,0.00%,,,,,,,,,,,,,,,,LS1 + LS2
,VGF4350,CLP-825B,B,VFG9690,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,2,         -,         -,,         -,,21,         -,21,,,,,,83.51,                -  ,                -  ,                -  ,                -  ,                -  ,"1,754",                -  ,,               -,               -,               -,               -,               -,7.3,               -,               -,               -,               -,               -,               -,154,               -,7:00,7:00,,8:27,8:27,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,9:49,15,7:00,7:00,,,7.34,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4360,CLP-825B,U,VFG9690,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,3,         -,20,,16,,         -,         -,36,,,,,,83.51,                -  ,"1,670",                -  ,"1,336",                -  ,                -  ,                -  ,,               -,5.5,               -,5.5,               -,               -,               -,               -,109,               -,87,               -,               -,               -,7:00,7:00,,8:27,10:31,15,7:00,7:00,,7:00,8:27,,7:00,7:00,,9:49,9:49,,7:00,7:00,,,5.47,               -  ,0.00%,,,,,,,,,,,,,,,,S1 + LS2
,VGF4370,CLP-825B,CHN,VFG9690,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,4,         -,         -,,20,,13,         -,33,,,,,,83.51,                -  ,                -  ,                -  ,"1,670",                -  ,"1,086",                -  ,,               -,               -,               -,5.5,               -,7.3,               -,               -,               -,               -,109,               -,95,               -,7:00,7:00,,10:31,10:31,,7:00,7:00,,8:27,10:31,15,7:00,7:00,,9:49,11:24,,7:00,7:00,,,7.34,               -  ,0.00%,,,,,,,,,,,,,,,,
,VHU0710,CLP-825R,J,VFG9700,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,5,         -,20,,20,,         -,         -,40,,,,,,83.51,                -  ,"1,670",                -  ,"1,670",                -  ,                -  ,                -  ,,               -,5.5,               -,5.5,               -,               -,               -,               -,109,               -,109,               -,               -,               -,7:00,7:00,,10:31,13:06,45,7:00,7:00,,10:31,13:06,45,7:00,7:00,,11:24,11:24,,7:00,7:00,,,5.47,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4440,CLP-825WH,E,VFG9690,VCS5930,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,6,         -,         -,30,         -,         -,17,         -,47,,,,,,83.51,                -  ,                -  ,"2,505",                -  ,                -  ,"1,420",                -  ,,               -,               -,5.5,               -,               -,7.3,               -,               -,               -,164,               -,               -,125,               -,7:00,7:00,,13:06,13:06,,7:00,9:58,15,13:06,13:06,,7:00,7:00,,11:24,14:14,45,7:00,7:00,,,7.34,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4520,CLP-825WH,Y2,VFG9690,VCS5930,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,7,         -,         -,         -,         -,         -,13,         -,13,,,,,,83.51,                -  ,                -  ,                -  ,                -  ,                -  ,"1,086",                -  ,,               -,               -,               -,               -,               -,7.3,               -,               -,               -,               -,               -,               -,95,               -,7:00,7:00,,13:06,13:06,,9:58,9:58,,13:06,13:06,,7:00,7:00,,14:14,15:50,,7:00,7:00,,,7.34,               -  ,0.00%,,,,,,,,,,,,,,,,
