Reserv.no., Itm,RcT,MvT,Material,Material description,ReqmtsDate,Reqmts qty,BUn,Qty. withdr.,BUn,Difference,BUn,PGr,Bin,User name,Base date,Plnt,SLoc,Plant,Rec.,Del,FIs,G/L acct,Cost ctr,Vendor
,,,,,,,,,,,,,,,,,,,,,,,,,
1215823288,1,,9L7,VEW1900,MUSIC STAND 001192 WHITE GRAIN,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823289,1,,9L7,VEF9290,FRONT RAIL 001192 WHITE GRAIN,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823292,1,,9L7,VEF8710,ARM ASSY L 001191 BLACK GRAIN,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823293,1,,9L7,VEF8720,ARM ASSY R 001191 BLACK GRAIN,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823294,1,,9L7,VEW1890,MUSIC STAND 001191 BLACK GRAIN,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823295,1,,9L7,VEF9280,FRONT RAIL 001191 BLACK GRAIN,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823296,1,,9L7,VEF9450,FRONT PANEL 001191 BLACK GRAIN,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823300,1,,9L7,VGN0350,MUSIC REST ASSY 001922,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823302,1,,9L7,VGH3310,REAR PANEL ASSY 001910,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823304,1,,9L7,VGH5660,SIDE BOARD R 001910,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823307,1,,9L7,VEH2510,FRONT RAIL 001370,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823357,1,,9L7,ZA76920,FRONT RAIL #3238,10.09.2025,10,PC,0,PC,10,PC,999,,BP5018200,04.09.2025,8200,WM10,8200,WL06,,,,,
1215823361,1,,9L7,VAH2890,SIDE SPACER R 000136,10.09.2025,5,PC,3,PC,2,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL06,,,,,
1215823383,1,,9L7,ZA74620,REAR PANEL ASSY #3238,10.09.2025,10,PC,0,PC,10,PC,999,,BP5018200,04.09.2025,8200,WM10,8200,WL06,,,,,
1215823416,1,,9L7,VEW2850,P-BOX SUB ASSY 001370,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823418,1,,9L7,VAH3600,SIDE BOARD L 000136,10.09.2025,10,PC,3,PC,7,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL06,,,,,
1215823419,1,,9L7,VAH3610,SIDE BOARD R 000136,10.09.2025,10,PC,4,PC,6,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL06,,,,,
1215823420,1,,9L7,VEF9010,SP BOX ASSY 001192 WHITE GRAIN,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823423,1,,9L7,VEF9460,FRONT PANEL 001192 WHITE GRAIN,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823424,1,,9L7,VEF9360,BACK TOP RAIL S-ASSY 001191,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823425,1,,9L7,VAH252A,TOP BOARD WOODENASSY 000136,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL06,,,,,
1215823434,1,,9L7,VGH5850,FRONT LEG 001910,10.09.2025,70,PC,0,PC,70,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823455,1,,9L7,VAH5730,KEY COVER SUB ASSY 000136,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL06,,,,,
1215823456,1,,9L7,VAU4100,SP BOX ASSY 000136,10.09.2025,5,PC,0,PC,5,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL06,,,,,
1215823458,1,,9L7,VGH4960,FRONT RAIL 001910,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823459,1,,9L7,ZC63860,SP COVER :,10.09.2025,100,PC,0,PC,100,PC,999,,BP5018200,04.09.2025,8200,WM04,8200,WL01,,,,,
1215823461,1,,9L7,VAH2540,ARM ASSY L 000136,10.09.2025,5,PC,0,PC,5,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL06,,,,,
1215823462,1,,9L7,VAH2560,ARM ASSY R 000136,10.09.2025,5,PC,0,PC,5,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL06,,,,,
1215823463,1,,9L7,VAH2880,SIDE SPACER L 000136,10.09.2025,5,PC,3,PC,2,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL06,,,,,
1215823464,1,,9L7,VEF9090,TOP BOARD SUB ASSY 001191 BLACK GRAIN,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823466,1,,9L7,ZC09390,COMPLETE ASSY BENCH BC-102BK,10.09.2025,4,PC,0,PC,4,PC,999,,BP5018200,04.09.2025,8200,WM04,8200,WL10,,,,,
1215823471,1,,9L7,VGJ3130,PEDAL BOX SUB ASSY 001905,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
1215823504,1,,9L7,VGH5650,SIDE BOARD L 001910,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823505,1,,9L7,VGH5980,FRONT LEG STAY L 001910,10.09.2025,40,PC,0,PC,40,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823506,1,,9L7,VGH5990,FRONT LEG STAY R 001910,10.09.2025,40,PC,0,PC,40,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823524,1,,9L7,VGJ9950,FRONT PANEL PRINTED 001916,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM04,8200,WL01,,,,,
1215823526,1,,9L7,VAH2130,REAR PANEL 000136,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL06,,,,,
1215823529,1,,9L7,VAH3700,FRONT LEG L 000136,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL06,,,,,
1215823530,1,,9L7,VAH3710,FRONT LEG R 000136,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL06,,,,,
1215823533,1,,9L7,VGH6230,PEDAL BOX SUB ASSY 001910,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823540,1,,9L7,VGH358A,TOP BOARD WOODEN ASSY 001910,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823541,1,,9L7,VGH386A,KEY STOP RAIL WOODEN ASSY 001910,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
